model,strategy,train_s,pr_auc,roc_auc,threshold,precision,recall,f1,mcc,tp,fp,fn,tn,spw
xgboost,raw,2.6,0.7136743239906329,0.971139874889582,0.261268,0.7872340425531915,0.7115384615384616,0.7474747474747475,0.748139550435824,37,10,15,42660,
linear_svc,rus,0.1,0.7099502251781135,0.9612410088154172,0.910206,0.75,0.6346153846153846,0.6875,0.689554770734014,33,11,19,42659,
fttransformer,class_weight,39.2,0.6811034057705401,0.9803496421553604,0.965338,0.7916666666666666,0.7307692307692307,0.76,0.7603291675861974,38,10,14,42660,518.2
catboost,rus,42.0,0.6702620123925029,0.9688702204755638,0.997577,0.62,0.5961538461538461,0.6078431372549019,0.6074916861718787,31,19,21,42651,
logreg,raw,0.4,0.6493598667580016,0.9666992662832832,0.16426,0.6226415094339622,0.6346153846153846,0.6285714285714286,0.6281430271701146,33,20,19,42650,
logreg,rus,0.1,0.6267825035591329,0.9699734996664924,0.999999,0.7380952380952381,0.5961538461538461,0.6595744680851063,0.6629742368609258,31,11,21,42659,
linear_svc,smote_enn,96.9,0.6136679899329468,0.9728524814768076,0.993877,0.673469387755102,0.6346153846153846,0.6534653465346535,0.653344556860254,33,16,19,42654,
linear_svc,smote,4.3,0.6061330910526778,0.9725820699104036,0.997642,0.7045454545454546,0.5961538461538461,0.6458333333333334,0.6476956395200808,31,13,21,42657,
linear_svc,gan,5.3,0.5916027847378689,0.958636044059058,0.995363,0.6904761904761905,0.5576923076923077,0.6170212765957447,0.6201310539984914,29,13,23,42657,
linear_svc,class_weight,4.9,0.5864464290212158,0.9600548034107912,0.156247,0.66,0.6346153846153846,0.6470588235294118,0.6467617924626815,33,17,19,42653,518.2
autoencoder,anomaly,37.1,0.5844867896214765,0.9406180707036108,2.690054,0.6481481481481481,0.6730769230769231,0.660377358490566,0.6600734519977816,35,19,17,42651,
logreg,gan,0.8,0.5684720282833432,0.9526018099547512,0.996324,0.6274509803921569,0.6153846153846154,0.6213592233009708,0.6209316119848707,32,19,20,42651,
lightgbm,class_weight,15.0,0.5372762495346985,0.8238322727190786,0.06598,0.725,0.5576923076923077,0.6304347826086957,0.6354837838395685,29,11,23,42659,1.0
lightgbm,raw,4.3,0.5372762495346985,0.8238322727190786,0.06598,0.725,0.5576923076923077,0.6304347826086957,0.6354837838395685,29,11,23,42659,
graphsage,raw,1.5,0.4876317712435232,0.8520294388058627,0.525711,0.6,0.4615384615384615,0.5217391304347826,0.5257333589193511,24,16,28,42654,
